entry_id;plot;species;sex;weight_g;year;month;day;notes
1;4;DM;F;37;1978;1;8;
2;4;DS;F;128;1978;1;8;
3;4;DM;F;42;1978;1;8;
4;4;DM;M;37;1978;1;8;
5;4;DM;M;NA;1978;1;8;
6;4;DM;F;48;1978;1;8;
7;4;DM;M;45;1978;1;8;
8;4;DM;F;42;1978;1;8;
9;4;DO;M;52;1978;1;8;
10;4;OL;M;35;1978;1;8;
11;2;DM;F;NA;2013;7;16;
12;7;DM;M;33;2013;7;16;
13;3;DM;M;NA;2013;7;16;
14;1;DM;M;NA;2013;7;16;
15;3;DM;M;40;2013;7;18;
16;7;DM;M;48;2013;7;18;
17;4;DM;F;29;2013;7;18;
18;4;DM;F;46;2013;7;18;
19;7;DM;M;36;2013;7;18;
20;7;DM;F;35;2013;7;18;
21;8;DM;F;22;2013;7;18;
22;7;DM;F;42;2013;7;18;
23;4;DM;F;41;2013;7;18;
24;6;DM;F;37;2013;7;18;
25;8;DO;F;52;2013;8;19;
26;3;DO;F;33;2013;10;17;
27;3;DO;F;50;2013;10;17;
28;17;DO;F;48;2013;10;17;
29;17;DO;F;31;2013;10;17;
30;8;DO;F;41;2013;10;18;
31;1;DO;F;44;2013;11;12;
32;1;DO;M;48;2013;11;12;
33;9;DS;F;117;2013;11;12;
34;1;DS;F;121;2013;11;12;
35;20;DS;M;115;2013;11;12;
36;9;DS;F;120;2013;11;12;
37;17;DS;F;118;2013;11;13;
38;11;DS;F;126;2013;11;13;
39;17;DS;M;132;2013;11;13;SCALE NOT CALIBRATED
40;14;DS;F;113;2013;11;13;SCALE NOT CALIBRATED
41;11;DS;F;122;2013;11;13;
42;4;DS;F;107;2013;11;13;
43;4;DS;F;115;2013;11;13;
44;8;DO;F;39;2013;11;14;
45;9;DO;F;40;2013;12;10;
46;1;DO;M;45;2013;12;10;
47;8;DO;F;41;2013;12;11;
48;2;NA;NA;NA;2014;1;8;
49;2;DM;M;44;2014;1;8;
50;2;DM;M;38;2014;1;8;
51;2;OL;NA;NA;2014;1;8;
52;2;PE;M;22;2014;1;8;
53;2;DM;M;38;2014;1;8;
54;2;DM;M;48;2014;1;8;
55;2;DM;M;43;2014;1;8;
56;2;DM;F;35;2014;1;8;
57;2;DM;M;43;2014;1;8;
58;2;DM;F;37;2014;1;8;
59;2;PF;F;7;2014;1;8;
60;2;DM;M;45;2014;1;8;
61;2;OT;NA;NA;2014;1;8;
62;2;DS;M;157;2014;1;8;SCALE NOT CALIBRATED
63;2;OX;NA;NA;2014;1;8;
64;1;DM;M;40;2014;1;9;
65;1;DM;F;36;2014;1;9;
66;1;DS;F;135;2014;1;9;
67;1;DM;F;39;2014;1;20;
68;1;DM;M;43;2014;1;20;
69;1;DS;F;144;2014;1;20;
70;2;NA;M;218;2014;2;18;SCALE NOT CALIBRATED
71;2;PF;F;7;2014;2;18;
72;2;DM;M;52;2014;2;18;
73;1;DM;F;51;2014;3;13;
74;1;DM;F;44;2014;3;13;
75;1;DS;F;146;2014;3;13;
76;3;PF;M;7;NA;1;8;
77;3;OT;M;24;NA;2;18;
78;3;OT;F;23;NA;2;18;
79;3;NA;M;232;NA;3;11;
80;3;OT;F;22;NA;3;11;
81;3;OT;M;26;NA;3;11;
82;3;PF;M;8;NA;3;11;
83;3;NA;F;NA;NA;4;8;
84;3;NA;NA;NA;NA;5;6;
85;3;NA;F;182;NA;5;18;
86;3;OT;F;29;NA;6;9;
87;3;NA;F;115;NA;7;8;
88;3;NA;M;190;NA;7;8;
